GCF_000005825.2	Bacillus pseudofirmus OF4 (firmicutes)
GCF_000196655.1	Methanohalobium evestigatum Z-7303 (euryarchaeotes)
GCF_000196675.1	Pseudonocardia dioxanivorans CB1190 (high GC Gram+)
GCF_000196695.1	Rhodococcus hoagii 103S (high GC Gram+)
GCF_000196735.1	Bacillus amyloliquefaciens DSM 7 = ATCC 23350 (firmicutes)
GCF_000196815.1	Nitrospira defluvii (bacteria)
GCF_000196835.1	Amycolatopsis mediterranei U32 (high GC Gram+)
GCF_000196855.1	Leuconostoc gelidum subsp. gasicomitatum LMG 18811 (firmicutes)
GCF_000196895.1	Halalkalicoccus jeotgali B3 (euryarchaeotes)
GCF_000199675.1	Anaerolinea thermophila UNI-1 (GNS bacteria)
GCF_000202635.1	Microbacterium testaceum StLB037 (high GC Gram+)
GCF_000202835.1	Acidiphilium multivorum AIU301 (a-proteobacteria)
GCF_000203835.1	Streptomyces coelicolor A3(2) (high GC Gram+)
GCF_000203855.3	Lactobacillus plantarum WCFS1 (firmicutes)
GCF_000204135.1	Chlamydia pecorum E58 (chlamydias)
GCF_000204155.1	Micromonospora maris AB-18-032 (high GC Gram+)
GCF_000204255.1	Chlamydia psittaci 6BC (chlamydias)
GCF_000204415.1	Methanothrix soehngenii GP6 (euryarchaeotes)
GCF_000204565.1	Clostridium botulinum BKT015925 (firmicutes)
GCF_000204645.1	Alicycliphilus denitrificans K601 (b-proteobacteria)
GCF_000204925.1	Metallosphaera cuprina Ar-4 (crenarchaeotes)
GCF_000208385.1	Sphaerochaeta coccoides DSM 17374 (spirochetes)
GCF_000208405.1	Selenomonas sputigena ATCC 35185 (firmicutes)
GCF_000209655.1	Pusillimonas sp. T7-7 (b-proteobacteria)
GCF_000209675.1	Gallibacterium anatis UMN179 (g-proteobacteria)
GCF_000210915.2	Halobacteriovorax marinus SJ (proteobacteria)
GCF_000211855.2	Lacinutrix sp. 5H-3-7-4 (CFB group bacteria)
GCF_000212375.1	Porphyromonas asaccharolytica DSM 20707 (CFB group bacteria)
GCF_000212395.1	Thermodesulfobium narugense DSM 14796 (firmicutes)
GCF_000212415.1	Treponema brennaborense DSM 12168 (spirochetes)
GCF_000212675.2	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay (d-proteobacteria)
GCF_000212695.1	Cellulomonas fimi ATCC 484 (high GC Gram+)
GCF_000212735.1	Haliscomenobacter hydrossis DSM 1100 (CFB group bacteria)
GCF_000213215.1	Acidianus hospitalis W1 (crenarchaeotes)
GCF_000213255.1	Mahella australiensis 50-1 BON (firmicutes)
GCF_000213805.1	Pseudomonas fulva 12-X (g-proteobacteria)
GCF_000213825.1	Streptococcus parauberis KCTC 11537 (firmicutes)
GCF_000214095.2	Acidithiobacillus ferrivorans SS3 (proteobacteria)
GCF_000214155.1	Mycolicibacter sinensis (high GC Gram+)
GCF_000214215.1	Marinomonas posidonica IVIA-Po-181 (g-proteobacteria)
GCF_000214355.1	Treponema azotonutricium ZAS-9 (spirochetes)
GCF_000214375.1	Treponema primitia ZAS-2 (spirochetes)
GCF_000214415.1	Methanotorris igneus Kol 5 (euryarchaeotes)
GCF_000214435.1	Desulfotomaculum nigrificans CO-1-SRB (firmicutes)
GCF_000214665.1	Methylomonas methanica MC09 (g-proteobacteria)
GCF_000214725.1	Methanobacterium paludis (euryarchaeotes)
GCF_000214785.1	Lactobacillus kefiranofaciens ZW3 (firmicutes)
GCF_000214825.1	Thiomicrospira cyclica ALM1 (g-proteobacteria)
GCF_000215085.1	Desulfotomaculum ruminis DSM 2154 (firmicutes)
GCF_000215105.1	Isoptericola variabilis 225 (high GC Gram+)
GCF_000215705.1	Ramlibacter tataouinensis TTB310 (b-proteobacteria)
GCF_000215745.1	Klebsiella aerogenes KCTC 2190 (enterobacteria)
GCF_000215975.1	Thermodesulfobacterium geofontis OPF15 (bacteria)
GCF_000215995.1	Pyrococcus yayanosii CH1 (euryarchaeotes)
GCF_000217635.1	Buchnera aphidicola (Cinara tujafilina) (enterobacteria)
GCF_000217675.1	Vibrio anguillarum 775 (g-proteobacteria)
GCF_000217715.1	Halopiger xanaduensis SH-6 (euryarchaeotes)
GCF_000217795.1	Thermodesulfatator indicus DSM 15286 (bacteria)
GCF_000217815.1	Pseudothermotoga thermarum DSM 5069 (thermotogales)
GCF_000217995.1	Methanosalsum zhilinae DSM 4017 (euryarchaeotes)
GCF_000218545.1	Cellulomonas gilvus ATCC 13127 (high GC Gram+)
GCF_000218565.1	Afipia carboxidovorans OM5 (a-proteobacteria)
GCF_000218625.1	Flexistipes sinusarabici DSM 4947 (bacteria)
GCF_000218875.1	Zymomonas mobilis subsp. pomaceae ATCC 29192 (a-proteobacteria)
GCF_000218895.1	Runella slithyformis DSM 19594 (CFB group bacteria)
GCF_000219045.1	Francisella salina (g-proteobacteria)
GCF_000219105.1	Corallococcus macrosporus (d-proteobacteria)
GCF_000219175.1	Candidatus Moranella endobia PCIT (enterobacteria)
GCF_000219355.1	Candidatus Midichloria mitochondrii IricVA (a-proteobacteria)
GCF_000219535.2	Brevibacillus laterosporus LMG 15441 (firmicutes)
GCF_000219585.1	Nitrosomonas sp. Is79A3 (b-proteobacteria)
GCF_000219605.1	Pseudomonas stutzeri (g-proteobacteria)
GCF_000219725.1	Treponema caldarium DSM 7334 (spirochetes)
GCF_000219805.1	Weissella koreensis KACC 15510 (firmicutes)
GCF_000220625.1	Capnocytophaga canimorsus Cc5 (CFB group bacteria)
GCF_000220645.1	Methanococcus maripaludis X1 (euryarchaeotes)
GCF_000222305.1	Borreliella bissettii DN127 (spirochetes)
GCF_000222485.1	Cyclobacterium marinum DSM 745 (CFB group bacteria)
GCF_000223395.1	Pyrolobus fumarii 1A (crenarchaeotes)
GCF_000223905.1	Haloarcula hispanica ATCC 33960 (euryarchaeotes)
GCF_000224005.2	Marichromatium purpuratum 984 (g-proteobacteria)
GCF_000224085.1	Muricauda ruestringensis DSM 13258 (CFB group bacteria)
GCF_000224105.1	Mycoplasma putrefaciens KS1 (mycoplasmas)
GCF_000224475.1	halophilic archaeon DL31 (euryarchaeotes)
GCF_000224985.1	Lactobacillus ruminis ATCC 27782 (firmicutes)
GCF_000225325.1	Lactobacillus sanfranciscensis TMW 1.1304 (firmicutes)
GCF_000225345.1	Roseburia hominis A2-183 (firmicutes)
GCF_000225445.1	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi) (enterobacteria)
GCF_000225465.1	Buchnera aphidicola str. Ua (Uroleucon ambrosiae) (enterobacteria)
GCF_000226295.1	Chloracidobacterium thermophilum B (bacteria)
GCF_000226315.1	Micavibrio aeruginosavorus ARL-13 (a-proteobacteria)
GCF_000226565.1	Glaciecola nitratireducens FR1064 (g-proteobacteria)
GCF_000226625.1	Taylorella asinigenitalis MCE3 (b-proteobacteria)
GCF_000227665.2	Thiomicrospira aerophila AL3 (g-proteobacteria)
GCF_000227685.2	Thioalkalivibrio paradoxus ARh 1 (g-proteobacteria)
GCF_000227705.2	Thermobacillus composti KWC4 (firmicutes)
GCF_000227745.2	Thiocystis violascens DSM 198 (g-proteobacteria)
GCF_000230275.1	Acidaminococcus intestini RyC-MR95 (firmicutes)
GCF_000230555.1	Pelagibacterium halotolerans B2 (a-proteobacteria)
GCF_000230695.2	Rhodanobacter denitrificans (g-proteobacteria)
GCF_000230715.2	Natronobacterium gregoryi SP2 (euryarchaeotes)
GCF_000230735.2	Natrinema pellirubrum DSM 15624 (euryarchaeotes)
GCF_000230895.2	Mycolicibacterium rhodesiae NBB3 (high GC Gram+)
GCF_000230955.2	Halobacterium sp. DL1 (euryarchaeotes)
GCF_000231015.2	Desulfurococcus amylolyticus DSM 16532 (crenarchaeotes)
GCF_000231385.2	Desulfosporosinus meridiei DSM 13257 (firmicutes)
GCF_000231405.2	Desulfitobacterium metallireducens DSM 15288 (firmicutes)
GCF_000233435.1	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR (CFB group bacteria)
GCF_000233715.2	Desulfallas gibsoniae DSM 7213 (firmicutes)
GCF_000233775.1	Thermovirga lienii DSM 17291 (bacteria)
GCF_000233915.3	Pseudoxanthomonas spadix BD-a59 (g-proteobacteria)
GCF_000235405.2	Fervidobacterium pennivorans DSM 9078 (thermotogales)
GCF_000235605.1	Desulfosporosinus orientis DSM 765 (firmicutes)
GCF_000236405.1	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu (CFB group bacteria)
GCF_000236665.1	Azospira oryzae PS (b-proteobacteria)
GCF_000236685.1	Sphaerochaeta pleomorpha str. Grapes (spirochetes)
GCF_000236705.1	Owenweeksia hongkongensis DSM 17368 (CFB group bacteria)
GCF_000237065.1	Pseudomonas fluorescens F113 (g-proteobacteria)
GCF_000237085.1	Hungateiclostridium clariflavum DSM 19732 (firmicutes)
GCF_000237145.1	Actinoplanes sp. SE50/110 (high GC Gram+)
GCF_000237205.1	Simkania negevensis Z (bacteria)
GCF_000237865.1	Haloquadratum walsbyi C23 (euryarchaeotes)
GCF_000237995.1	Pediococcus claussenii ATCC BAA-344 (firmicutes)
GCF_000238215.1	Tannerella forsythia 92A2 (CFB group bacteria)
GCF_000238255.3	Pseudoalteromonas spongiae UST010723-006 (g-proteobacteria)
GCF_000238995.1	Mycoplasma haemocanis str. Illinois (mycoplasmas)
GCF_000240075.2	Flavobacterium columnare ATCC 49512 (CFB group bacteria)
GCF_000240165.1	Streptomyces cattleya NRRL 8057 = DSM 46488 (high GC Gram+)
GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria)
GCF_000242255.2	Frateuria aurantia DSM 6220 (g-proteobacteria)
GCF_000242335.1	Prevotella dentalis DSM 3688 (CFB group bacteria)
GCF_000242455.2	Singulisphaera acidiphila DSM 18658 (bacteria)
GCF_000242595.2	Spirochaeta africana DSM 8902 (spirochetes)
GCF_000242635.2	Solitalea canadensis DSM 3403 (CFB group bacteria)
GCF_000242895.2	Bacillus sp. 1NLA3E (firmicutes)
GCF_000242935.2	Opitutaceae bacterium TAV5 (verrucomicrobia)
GCF_000243115.2	Niabella soli DSM 19437 (CFB group bacteria)
GCF_000243135.2	Desulfitobacterium dichloroeliminans LMG P-21439 (firmicutes)
GCF_000243155.2	Desulfitobacterium dehalogenans ATCC 51507 (firmicutes)
GCF_000246855.1	Niastella koreensis GR20-10 (CFB group bacteria)
GCF_000246985.2	Thermococcus litoralis DSM 5473 (euryarchaeotes)
GCF_000247605.1	Acetobacterium woodii DSM 1030 (firmicutes)
GCF_000247715.1	Gordonia polyisoprenivorans VH2 (high GC Gram+)
GCF_000248095.2	Lactobacillus mucosae LM1 (firmicutes)
GCF_000250635.1	Saprospira grandis str. Lewin (CFB group bacteria)
GCF_000250655.1	Paenibacillus mucilaginosus 3016 (firmicutes)
GCF_000250675.2	Nocardia brasiliensis ATCC 700358 (high GC Gram+)
GCF_000251105.1	Methanocella conradii HZ254 (euryarchaeotes)
GCF_000252445.1	Deinococcus gobiensis I-0 (bacteria)
GCF_000252855.1	Riemerella anatipestifer ATCC 11845 = DSM 15868 (CFB group bacteria)
GCF_000253015.1	Bartonella clarridgeiae 73 (a-proteobacteria)
GCF_000253035.1	Parachlamydia acanthamoebae UV-7 (bacteria)
GCF_000253055.1	Thermoproteus tenax Kra 1 (crenarchaeotes)
GCF_000253175.1	Yersinia enterocolitica subsp. palearctica Y11 (enterobacteria)
GCF_000253275.1	Flavobacterium branchiophilum FL-15 (CFB group bacteria)
GCF_000253395.1	Streptococcus thermophilus JIM 8232 (firmicutes)
GCF_000255115.2	Desulfosporosinus acidiphilus SJ4 (firmicutes)
GCF_000255135.1	Marinitoga piezophila KA3 (bacteria)
GCF_000255295.1	Corallococcus coralloides DSM 2259 (d-proteobacteria)
GCF_000255535.1	Rahnella aquatilis HX2 (enterobacteria)
GCF_000258405.1	Ignavibacterium album JCM 16511 (bacteria)
GCF_000259255.1	Helicobacter cetorum MIT 00-7128 (e-proteobacteria)
GCF_000259275.1	Helicobacter cetorum MIT 99-5656 (e-proteobacteria)
GCF_000260965.1	Methylophaga frappieri (g-proteobacteria)
GCF_000260985.3	Methylophaga nitratireducenticrescens (g-proteobacteria)
GCF_000260985.4	Methylophaga nitratireducenticrescens (g-proteobacteria)
GCF_000262715.1	Blattabacterium sp. (Blaberus giganteus) (CFB group bacteria)
GCF_000263195.1	Emticicia oligotrophica DSM 17448 (CFB group bacteria)
GCF_000263735.1	Pyrococcus sp. ST04 (euryarchaeotes)
GCF_000264455.2	Tistrella mobilis KA081020-065 (a-proteobacteria)
GCF_000264495.1	Thermogladius calderae 1633 (crenarchaeotes)
GCF_000265295.1	Sulfurospirillum barnesii SES-3 (e-proteobacteria)
GCF_000265365.1	Alistipes finegoldii DSM 17242 (CFB group bacteria)
GCF_000265385.1	Aequorivita sublithincola DSM 14238 (CFB group bacteria)
GCF_000265405.1	Belliella baltica DSM 15883 (CFB group bacteria)
GCF_000265425.1	Terriglobus roseus DSM 18391 (bacteria)
GCF_000265465.1	Ornithobacterium rhinotracheale DSM 15997 (CFB group bacteria)
GCF_000265525.1	Thermococcus cleftensis (euryarchaeotes)
GCF_000266885.1	Turneriella parva DSM 21527 (bacteria)
GCF_000266905.1	Mycolicibacterium chubuense NBB4 (high GC Gram+)
GCF_000266945.1	Desulfomonile tiedjei DSM 6799 (d-proteobacteria)
GCF_000269945.1	Lactococcus garvieae Lg2 (firmicutes)
GCF_000269985.1	Kitasatospora setae KM-6054 (high GC Gram+)
GCF_000270145.1	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 (firmicutes)
GCF_000270205.1	Candidatus Arthromitus sp. SFB-mouse-Japan (segmented filamentous bacteria)
GCF_000270245.1	Microlunatus phosphovorus NM-1 (high GC Gram+)
GCF_000270285.1	Eggerthella sp. YY7918 (actinobacteria)
GCF_000270305.1	Clostridium sp. SY8519 (firmicutes)
GCF_000271665.2	Pelosinus fermentans JBW45 (firmicutes)
GCF_000276685.1	Taylorella equigenitalis ATCC 35865 (b-proteobacteria)
GCF_000277125.1	Mycobacterium intracellulare ATCC 13950 (high GC Gram+)
GCF_000277795.1	Mycoplasma wenyonii str. Massachusetts (mycoplasmas)
GCF_000279145.1	Melioribacter roseus P3M-2 (bacteria)
GCF_000281175.1	Caldilinea aerophila DSM 14535 = NBRC 104270 (GNS bacteria)
GCF_000283515.1	Sphingobium sp. SYK-6 (a-proteobacteria)
GCF_000283555.1	Candidatus Arthromitus sp. SFB-rat-Yit (firmicutes)
GCF_000283575.1	Oscillibacter valericigenes Sjm18-20 (firmicutes)
GCF_000283595.1	Rickettsia japonica YH (a-proteobacteria)
GCF_000283615.1	Tetragenococcus halophilus NBRC 12172 (firmicutes)
GCF_000283655.1	Azospirillum lipoferum 4B (a-proteobacteria)
GCF_000284015.1	Blastococcus saxobsidens DD2 (high GC Gram+)
GCF_000284035.1	Nocardia cyriacigeorgica GUH-2 (high GC Gram+)
GCF_000284075.1	Rickettsia rhipicephali str. 3-7-female6-CWPP (a-proteobacteria)
GCF_000284095.1	Selenomonas ruminantium subsp. lactilytica TAM6421 (firmicutes)
GCF_000284115.1	Phycisphaera mikurensis NBRC 102666 (bacteria)
GCF_000284155.1	Rickettsia australis str. Cutlack (a-proteobacteria)
GCF_000284235.1	Arcobacter sp. L (e-proteobacteria)
GCF_000284255.1	Rubrivivax gelatinosus IL144 (b-proteobacteria)
GCF_000284295.1	Actinoplanes missouriensis 431 (high GC Gram+)
GCF_000284315.1	Leptospirillum ferrooxidans C2-3 (bacteria)
GCF_000284335.1	Caldisericum exile AZM16c01 (bacteria)
GCF_000284375.1	Bradyrhizobium japonicum USDA 6 (a-proteobacteria)
GCF_000284415.1	Pararhodospirillum photometricum DSM 122 (a-proteobacteria)
GCF_000284515.1	Halobacillus halophilus DSM 2266 (firmicutes)
GCF_000284615.1	Marinobacter hydrocarbonoclasticus ATCC 49840 (g-proteobacteria)
GCF_000287335.1	secondary endosymbiont of Ctenarytaina eucalypti (enterobacteria)
GCF_000287355.1	secondary endosymbiont of Heteropsylla cubana (enterobacteria)
GCF_000294515.1	Nocardiopsis alba ATCC BAA-2165 (high GC Gram+)
GCF_000294715.1	Bartonella quintana RM-11 (a-proteobacteria)
GCF_000294775.2	Bacillus oceanisediminis 2691 (firmicutes)
GCF_000297055.2	Sulfuricella denitrificans skB26 (b-proteobacteria)
GCF_000298115.2	Lactobacillus buchneri subsp. silagei CD034 (firmicutes)
GCF_000299095.1	alpha proteobacterium HIMB5 (a-proteobacteria)
GCF_000299115.1	alpha proteobacterium HIMB59 (a-proteobacteria)
GCF_000299235.1	Leptospirillum ferriphilum ML-04 (bacteria)
GCF_000299335.2	Alcanivorax pacificus W11-5 (g-proteobacteria)
GCF_000299355.1	Gottschalkia acidurici 9a (firmicutes)
GCF_000299455.1	Escherichia coli O104:H4 str. 2011C-3493 (E. coli)
GCF_000300005.1	Alcanivorax dieselolei B5 (g-proteobacteria)
GCF_000300075.1	Candidatus Portiera aleyrodidarum BT-B-HRs (g-proteobacteria)
GCF_000300135.1	Leuconostoc carnosum JB16 (firmicutes)
GCF_000300235.2	Thalassospira xiamenensis M-5 = DSM 17429 (a-proteobacteria)
GCF_000300255.2	Candidatus Methanomethylophilus alvus Mx1201 (archaea)
GCF_000300295.3	Piscirickettsia salmonis LF-89 = ATCC VR-1361 (g-proteobacteria)
GCF_000300295.4	Piscirickettsia salmonis LF-89 = ATCC VR-1361 (g-proteobacteria)
GCF_000300455.3	Kosakonia sacchari SP1 (enterobacteria)
GCF_000304215.1	Bifidobacterium asteroides PRL2011 (high GC Gram+)
GCF_000304355.2	Methanoculleus bourgensis MS2 (euryarchaeotes)
GCF_000304455.1	Cardinium endosymbiont cEper1 of Encarsia pergandiella (CFB group bacteria)
GCF_000304735.1	Borreliella afzelii HLJ01 (spirochetes)
GCF_000305785.2	Simiduia agarivorans SA1 = DSM 21679 (g-proteobacteria)
GCF_000305935.1	Thermacetogenium phaeum DSM 12270 (firmicutes)
GCF_000306725.1	Methanolobus psychrophilus R15 (euryarchaeotes)
GCF_000306765.2	Haloferax mediterranei ATCC 33500 (euryarchaeotes)
GCF_000306785.1	Modestobacter marinus (high GC Gram+)
GCF_000306885.1	Wolbachia endosymbiont of Onchocerca ochengi (a-proteobacteria)
GCF_000307105.1	Desulfobacula toluolica Tol2 (d-proteobacteria)
GCF_000307165.1	Amphibacillus xylanus NBRC 15112 (firmicutes)
GCF_000309885.1	Thermus oshimai JL-2 (bacteria)
GCF_000311765.1	Gluconobacter oxydans H24 (a-proteobacteria)
GCF_000312705.1	Anabaena sp. 90 (cyanobacteria)
GCF_000313175.2	Leptospira santarosai serovar Shermani str. LT 821 (bacteria)
GCF_000313635.1	Mycoplasma hyorhinis SK76 (mycoplasmas)
GCF_000316515.1	Cyanobium gracile PCC 6307 (cyanobacteria)
GCF_000316575.1	Calothrix sp. PCC 7507 (cyanobacteria)
GCF_000316605.1	Leptolyngbya sp. PCC 7376 (cyanobacteria)
GCF_000316625.1	Nostoc sp. PCC 7107 (cyanobacteria)
GCF_000316665.1	Rivularia sp. PCC 7116 (cyanobacteria)
GCF_000316685.1	Synechococcus sp. PCC 6312 (cyanobacteria)
GCF_000317025.1	Pleurocapsa sp. PCC 7327 (cyanobacteria)
GCF_000317045.1	Geitlerinema sp. PCC 7407 (cyanobacteria)
GCF_000317065.1	Pseudanabaena sp. PCC 7367 (cyanobacteria)
GCF_000317085.1	Synechococcus sp. PCC 7502 (cyanobacteria)
GCF_000317105.1	Oscillatoria acuminata PCC 6304 (cyanobacteria)
GCF_000317125.1	Chroococcidiopsis thermalis PCC 7203 (cyanobacteria)
GCF_000317305.3	Mycolicibacterium neoaurum VKM Ac-1815D (high GC Gram+)
GCF_000317475.1	Oscillatoria nigro-viridis PCC 7112 (cyanobacteria)
GCF_000317495.1	Crinalium epipsammum PCC 9333 (cyanobacteria)
GCF_000317515.1	Microcoleus sp. PCC 7113 (cyanobacteria)
GCF_000317575.1	Stanieria cyanosphaera PCC 7437 (cyanobacteria)
GCF_000317615.1	Dactylococcopsis salina PCC 8305 (cyanobacteria)
GCF_000317635.1	Halothece sp. PCC 7418 (cyanobacteria)
GCF_000317675.1	Cyanobacterium aponinum PCC 10605 (cyanobacteria)
GCF_000317695.1	Anabaena cylindrica PCC 7122 (cyanobacteria)
GCF_000317795.1	Caldisphaera lagunensis DSM 15908 (crenarchaeotes)
GCF_000317835.1	Deinococcus peraridilitoris DSM 19664 (bacteria)
GCF_000317855.1	Streptococcus dysgalactiae subsp. equisimilis AC-2713 (firmicutes)
GCF_000317935.1	Bordetella parapertussis Bpp5 (b-proteobacteria)
GCF_000317975.2	Carnobacterium maltaromaticum LMA28 (firmicutes)
GCF_000318015.1	Bordetella bronchiseptica 253 (b-proteobacteria)
GCF_000319385.1	Candidatus Endolissoclinum faulkneri L2 (a-proteobacteria)
GCF_000319575.2	Spiribacter salinus M19-40 (g-proteobacteria)
GCF_000321415.2	Thioalkalivibrio nitratireducens DSM 14787 (g-proteobacteria)
GCF_000325665.1	Brachyspira pilosicoli P43/6/78 (bacteria)
GCF_000325705.1	Echinicola vietnamensis DSM 17526 (CFB group bacteria)
GCF_000325745.1	Liberibacter crescens BT-1 (a-proteobacteria)
GCF_000327045.1	Thioflavicoccus mobilis 8321 (g-proteobacteria)
GCF_000327485.1	Methanoregula formicica SMSP (euryarchaeotes)
GCF_000327505.1	Aciduliprofundum sp. MAR08-339 (archaea)
GCF_000328565.1	Mycobacterium sp. JS623 (high GC Gram+)
GCF_000328625.1	Halobacteroides halobius DSM 5150 (firmicutes)
GCF_000328665.1	Methanomethylovorans hollandica DSM 15978 (euryarchaeotes)
GCF_000328685.1	Natronococcus occultus SP4 (euryarchaeotes)
GCF_000328705.1	Saccharothrix espanaensis DSM 44229 (high GC Gram+)
GCF_000328725.1	Mycoplasma cynos C142 (mycoplasmas)
GCF_000328765.2	Tepidanaerobacter acetatoxydans Re1 (firmicutes)
GCF_000330885.1	Rhizobium tropici CIAT 899 (a-proteobacteria)
GCF_000331735.1	Myxococcus stipitatus DSM 14675 (d-proteobacteria)
GCF_000331995.1	Thermoclostridium stercorarium subsp. stercorarium DSM 8532 (firmicutes)
GCF_000332115.1	Nonlabens dokdonensis DSW-6 (CFB group bacteria)
GCF_000332735.1	Staphylococcus warneri SG1 (firmicutes)
GCF_000334405.1	Blattabacterium sp. (Blatta orientalis) str. Tarazona (CFB group bacteria)
GCF_000340435.2	Mycobacterium haemophilum DSM 44634 (high GC Gram+)
GCF_000340795.1	Candidatus Kinetoplastibacterium desouzaii TCC079E (b-proteobacteria)
GCF_000340825.1	Candidatus Kinetoplastibacterium crithidii TCC036E (b-proteobacteria)
GCF_000340865.1	Candidatus Kinetoplastibacterium oncopeltii TCC290E (b-proteobacteria)
GCF_000340885.1	Clostridium saccharoperbutylacetonicum N1-4(HMT) (firmicutes)
GCF_000340905.1	Candidatus Kinetoplastibacterium galatii TCC219 (b-proteobacteria)
GCF_000341345.1	Corynebacterium halotolerans YIM 70093 = DSM 44683 (high GC Gram+)
GCF_000341355.1	Bartonella australis Aust/NH1 (a-proteobacteria)
GCF_000341385.1	Bartonella vinsonii subsp. berkhoffii str. Winnie (a-proteobacteria)
GCF_000341395.1	Desulfocapsa sulfexigens DSM 10523 (d-proteobacteria)
GCF_000344785.1	Corynebacterium callunae DSM 20147 (high GC Gram+)
GCF_000344805.1	Bradyrhizobium oligotrophicum S58 (a-proteobacteria)
GCF_000346595.1	Candidatus Liberibacter asiaticus str. gxpsy (a-proteobacteria)
GCF_000347595.1	Bibersteinia trehalosi USDA-ARS-USMARC-192 (g-proteobacteria)
GCF_000347635.1	Paraglaciecola psychrophila 170 (g-proteobacteria)
GCF_000347695.1	Bifidobacterium thermophilum RBL67 (high GC Gram+)
GCF_000348725.1	Bdellovibrio exovorus JSS (proteobacteria)
GCF_000348785.1	Ilumatobacter coccineus YM16-304 (actinobacteria)
GCF_000348805.1	Blattabacterium cuenoti BPAA (CFB group bacteria)
GCF_000349845.1	Pseudomonas sp. ATCC 13867 (g-proteobacteria)
GCF_000349945.1	Azoarcus sp. KH32C (b-proteobacteria)
GCF_000350305.1	Thermoplasmatales archaeon BRNA1 (archaea)
GCF_000354175.2	Vibrio alginolyticus NBRC 15630 = ATCC 17749 (g-proteobacteria)
GCF_000355675.1	Thalassolituus oleivorans MIL-1 (g-proteobacteria)
GCF_000355765.4	Nitrosospira lacus (b-proteobacteria)
GCF_000376545.2	Epibacterium mobile F1926 (a-proteobacteria)
GCF_000376585.1	Wolbachia endosymbiont of Drosophila simulans wNo (a-proteobacteria)
GCF_000376645.1	Mannheimia haemolytica M42548 (g-proteobacteria)
GCF_000385565.1	Archaeoglobus sulfaticallidus PM70-1 (euryarchaeotes)
GCF_000389635.1	Clostridium pasteurianum BC1 (firmicutes)
GCF_000389965.1	Actinoplanes sp. N902-109 (high GC Gram+)
GCF_000397205.1	Pseudomonas protegens CHA0 (g-proteobacteria)
GCF_000400935.1	Spiroplasma chrysopicola DF-1 (mycoplasmas)
GCF_000400955.1	Spiroplasma syrphidicola EA-1 (mycoplasmas)
GCF_000403645.1	Salinarchaeum sp. Harcht-Bsk1 (euryarchaeotes)
GCF_000404165.1	Methanobrevibacter sp. AbM4 (euryarchaeotes)
GCF_000404225.1	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1 (archaea)
GCF_000412695.1	Pseudomonas resinovorans NBRC 106553 (g-proteobacteria)
GCF_000418365.1	Corynebacterium terpenotabidum Y-11 (high GC Gram+)
GCF_000422165.1	Lactobacillus helveticus CNRZ32 (firmicutes)
GCF_000439435.1	Spiroplasma taiwanense CT-1 (mycoplasmas)
GCF_000439455.1	Spiroplasma diminutum CUAS-1 (mycoplasmas)
GCF_000441555.1	Candidatus Profftella armatura (b-proteobacteria)
GCF_000442645.1	Corynebacterium maris DSM 45190 (high GC Gram+)
GCF_000444875.1	Streptomyces collinus Tu 365 (high GC Gram+)
GCF_000444995.1	Paracoccus aminophilus JCM 7686 (a-proteobacteria)
GCF_000445425.4	Borrelia miyamotoi LB-2001 (spirochetes)
GCF_000447675.1	Treponema pedis str. T A4 (spirochetes)
GCF_000454045.1	Rhodococcus erythropolis CCM2595 (high GC Gram+)
GCF_000455605.1	Flavobacterium indicum GPTSA100-9 = DSM 17447 (CFB group bacteria)
GCF_000463355.1	Streptococcus intermedius B196 (firmicutes)
GCF_000463505.1	Streptococcus anginosus C238 (firmicutes)
GCF_000468615.2	Cellulophaga baltica 18 (CFB group bacteria)
GCF_000470655.1	Halorhabdus tiamatea SARL4B (euryarchaeotes)
GCF_000470775.1	Leifsonia xyli subsp. cynodontis DSM 46306 (high GC Gram+)
GCF_000471025.2	Chlamydia gallinacea 08-1274/3 (chlamydias)
GCF_000471965.1	Blattabacterium sp. (Nauphoeta cinerea) (CFB group bacteria)
GCF_000473245.1	Bacillus infantis NRRL B-14911 (firmicutes)
GCF_000473305.1	Bacteroidales bacterium CF (CFB group bacteria)
GCF_000473995.1	Clostridium saccharobutylicum DSM 13864 (firmicutes)
GCF_000477415.1	Mycoplasma parvum str. Indiana (mycoplasmas)
GCF_000477435.1	Candidatus Symbiobacter mobilis CR (b-proteobacteria)
GCF_000478885.1	Adlercreutzia equolifaciens DSM 19450 (actinobacteria)
GCF_000478905.1	Candidatus Pantoea carbekii (enterobacteria)
GCF_000484505.1	Clostridium autoethanogenum DSM 10061 (firmicutes)
GCF_000484535.1	Gloeobacter kilaueensis JS1 (cyanobacteria)
GCF_000493735.1	Carnobacterium inhibens subsp. gilichinskyi (firmicutes)
GCF_000494755.1	Actinoplanes friuliensis DSM 7358 (high GC Gram+)
GCF_000495935.2	Elizabethkingia anophelis NUHP1 (CFB group bacteria)
